"Date","Price","Open","High","Low","Vol.","Change %"
"23/09/2026","6,225","6,200","6,250","6,200","32.65M","0.40%"
"22/09/2026","6,200","6,225","6,250","6,175","93.21M","-0.40%"
"21/09/2026","6,225","6,300","6,300","6,225","69.91M","-1.19%"
"18/09/2026","6,300","6,325","6,350","6,225","176.75M","-0.79%"
"17/09/2026","6,350","6,400","6,400","6,325","61.81M","0.40%"
"16/09/2026","6,325","6,350","6,425","6,325","72.16M","-1.17%"
"15/09/2026","6,400","6,500","6,500","6,350","95.61M","-1.54%"
"14/09/2026","6,500","6,325","6,575","6,275","218.02M","2.77%"
"11/09/2026","6,325","6,400","6,400","6,250","187.92M","-1.56%"
"10/09/2026","6,425","6,575","6,600","6,425","196.82M","-1.53%"
"09/09/2026","6,525","6,700","6,700","6,500","193.38M","-2.25%"
"08/09/2026","6,675","6,600","6,775","6,575","108.13M","0.75%"
"07/09/2026","6,625","6,750","6,750","6,600","65.12M","-1.12%"
"04/09/2026","6,700","6,800","6,850","6,675","93.92M","-1.11%"
"03/09/2026","6,775","6,700","6,800","6,625","112.33M","1.50%"
"02/09/2026","6,675","6,675","6,725","6,600","108.54M","1.14%"
"01/09/2026","6,600","6,450","6,600","6,425","117.97M","1.93%"
"31/08/2026","6,475","6,450","6,525","6,400","230.90M","0.00%"
"28/08/2026","6,475","6,425","6,525","6,400","156.45M","1.17%"
"27/08/2026","6,400","6,350","6,425","6,325","60.56M","0.79%"
"26/08/2026","6,350","6,450","6,450","6,350","86.12M","-0.78%"
"24/08/2026","6,400","6,450","6,450","6,350","81.30M","-0.78%"
